GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.services,CreateAccountService,12,0,0,0,5,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.services,SignInOutService,18,48,1,11,6,16,2,8,1,3
ticket-service,com.epam.training.ticketservice.services,BookService,20,0,0,0,7,0,4,0,4,0
ticket-service,com.epam.training.ticketservice.services,ScreeningService,90,118,14,24,21,36,14,13,4,4
ticket-service,com.epam.training.ticketservice.services,DescribeAccountService,53,0,8,0,16,0,8,0,4,0
ticket-service,com.epam.training.ticketservice.services,MovieService,25,20,0,2,7,7,3,3,3,2
ticket-service,com.epam.training.ticketservice.services,RoomService,24,20,0,2,7,7,3,3,3,2
ticket-service,com.epam.training.ticketservice.repository.impl,JpaAccountRepository,30,128,1,9,11,30,4,12,3,8
ticket-service,com.epam.training.ticketservice.repository.impl,JpaBookRepository,104,155,11,13,26,34,18,10,8,8
ticket-service,com.epam.training.ticketservice.repository.impl,JpaRoomRepository,42,77,0,4,7,21,4,7,4,5
ticket-service,com.epam.training.ticketservice.repository.impl,JpaMovieRepository,46,74,0,4,9,20,5,7,5,5
ticket-service,com.epam.training.ticketservice.repository.impl,JpaScreeningRepository,95,147,11,9,20,33,14,12,7,9
ticket-service,com.epam.training.ticketservice,TicketServicePromptProvider,8,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice,Application,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.modell,AdminAccount,3,12,0,0,1,6,1,5,1,5
ticket-service,com.epam.training.ticketservice.modell,Account,0,25,0,0,0,10,0,5,0,5
ticket-service,com.epam.training.ticketservice.modell,Movie,0,21,0,0,0,8,0,4,0,4
ticket-service,com.epam.training.ticketservice.modell,Seats,15,0,0,0,6,0,3,0,3,0
ticket-service,com.epam.training.ticketservice.modell,Room,0,21,0,0,0,8,0,4,0,4
ticket-service,com.epam.training.ticketservice.modell,Book,3,36,0,0,1,13,1,6,1,6
ticket-service,com.epam.training.ticketservice.modell,Screening,0,27,0,0,0,10,0,5,0,5
ticket-service,com.epam.training.ticketservice.controllers,ScreeningController,0,105,0,6,0,33,0,7,0,4
ticket-service,com.epam.training.ticketservice.controllers,SignInOutController,12,28,0,0,5,13,1,3,1,3
ticket-service,com.epam.training.ticketservice.controllers,RoomController,0,88,0,8,0,31,0,9,0,5
ticket-service,com.epam.training.ticketservice.controllers,BookingController,121,0,4,0,27,0,7,0,5,0
ticket-service,com.epam.training.ticketservice.controllers,DescribeAccountController,101,25,5,3,21,9,3,3,0,2
ticket-service,com.epam.training.ticketservice.controllers,CreateAccountController,18,0,0,0,8,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.controllers,MovieController,0,81,0,8,0,30,0,9,0,5
ticket-service,com.epam.training.ticketservice.dataaccess.projection,RoomProjection,3,29,0,0,2,12,1,6,1,6
ticket-service,com.epam.training.ticketservice.dataaccess.projection,BookProjection,3,39,0,0,2,14,1,7,1,7
ticket-service,com.epam.training.ticketservice.dataaccess.projection,MovieProjection,3,29,0,0,2,12,1,6,1,6
ticket-service,com.epam.training.ticketservice.dataaccess.projection,AccountProjection,3,25,0,0,2,10,1,5,1,5
ticket-service,com.epam.training.ticketservice.dataaccess.projection,ScreenProjection,22,24,0,0,11,9,6,4,6,4
ticket-service,com.epam.training.ticketservice.exceptions,CrudException,0,4,0,0,0,2,0,1,0,1
ticket-service,com.epam.training.ticketservice.exceptions,SignInOutException,0,4,0,0,0,2,0,1,0,1
ticket-service,com.epam.training.ticketservice.exceptions,OverlappingException,0,4,0,0,0,2,0,1,0,1
ticket-service,com.epam.training.ticketservice.exceptions,BookException,0,4,0,0,0,2,0,1,0,1
ticket-service,com.epam.training.ticketservice.exceptions,EmptyListException,0,4,0,0,0,2,0,1,0,1
